M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,value_type,Type,Strides,TransactionByte,WordSize
16000,16000,  0.026900,10,8.000000,128000,61.858885,9.516729,4,CUSPARSE,124197,128,32
16000,16000,  0.090900,10,16.000000,256000,35.203564,5.632563,4,CUSP,248177,128,32
16000,16000,  0.046400,10,16.000000,256000,68.965603,11.034483,4,CUSPARSE,248177,128,32
16000,16000,  0.175600,10,32.000000,512000,35.717563,5.831435,4,CUSP,496418,128,32
16000,16000,  0.072300,10,32.000000,512000,86.749710,14.163209,4,CUSPARSE,496418,128,32
16000,16000,  0.296500,10,64.000000,1024000,41.875224,6.907251,4,CUSP,993081,128,32
16000,16000,  0.135700,10,64.000000,1024000,91.495976,15.092115,4,CUSPARSE,993081,128,32
16000,16000,  0.541900,10,128.000000,2048000,45.587754,7.558590,4,CUSP,1985965,128,32
16000,16000,  0.229000,10,128.000000,2048000,107.877747,17.886463,4,CUSPARSE,1985965,128,32
18000,18000,  0.015500,10,1.000000,18000,23.226065,2.322581,4,CUSP,17518,128,32
18000,18000,  0.016200,10,1.000000,18000,22.222469,2.222222,4,CUSPARSE,17518,128,32
18000,18000,  0.019500,10,2.000000,36000,29.538667,3.692308,4,CUSP,35023,128,32
18000,18000,  0.015900,10,2.000000,36000,36.226667,4.528302,4,CUSPARSE,35023,128,32
18000,18000,  0.030400,10,4.000000,72000,33.158026,4.736842,4,CUSP,70098,128,32
18000,18000,  0.019000,10,4.000000,72000,53.052842,7.578947,4,CUSPARSE,70098,128,32
18000,18000,  0.053200,10,8.000000,144000,35.188045,5.413534,4,CUSP,140125,128,32
18000,18000,  0.029200,10,8.000000,144000,64.109726,9.863014,4,CUSPARSE,140125,128,32
18000,18000,  0.101300,10,16.000000,288000,35.538045,5.686081,4,CUSP,280119,128,32
18000,18000,  0.048200,10,16.000000,288000,74.688880,11.950207,4,CUSPARSE,280119,128,32
18000,18000,  0.197400,10,32.000000,576000,35.744701,5.835866,4,CUSP,560471,128,32
18000,18000,  0.080200,10,32.000000,576000,87.980100,14.364090,4,CUSPARSE,560471,128,32
18000,18000,  0.333300,10,64.000000,1152000,41.908203,6.912691,4,CUSP,1121118,128,32
18000,18000,  0.152300,10,64.000000,1152000,91.713749,15.128037,4,CUSPARSE,1121118,128,32
18000,18000,  0.609000,10,128.000000,2304000,45.635475,7.566502,4,CUSP,2241546,128,32
18000,18000,  0.255300,10,128.000000,2304000,108.860180,18.049354,4,CUSPARSE,2241546,128,32
20000,20000,  0.016300,10,1.000000,20000,24.540123,2.453988,4,CUSP,19529,128,32
20000,20000,  0.017100,10,1.000000,20000,23.392047,2.339181,4,CUSPARSE,19529,128,32
20000,20000,  0.021100,10,2.000000,40000,30.331943,3.791469,4,CUSP,38974,128,32
20000,20000,  0.017300,10,2.000000,40000,36.994451,4.624277,4,CUSPARSE,38974,128,32
20000,20000,  0.033700,10,4.000000,80000,33.234540,4.747774,4,CUSP,78031,128,32
20000,20000,  0.018700,10,4.000000,80000,59.893262,8.556150,4,CUSPARSE,78031,128,32
20000,20000,  0.059000,10,8.000000,160000,35.254305,5.423729,4,CUSP,156038,128,32
20000,20000,  0.031300,10,8.000000,160000,66.453802,10.223642,4,CUSPARSE,156038,128,32
20000,20000,  0.111600,10,16.000000,320000,35.842330,5.734767,4,CUSP,311974,128,32
20000,20000,  0.054400,10,16.000000,320000,73.529485,11.764706,4,CUSPARSE,311974,128,32
20000,20000,  0.218800,10,32.000000,640000,35.831828,5.850091,4,CUSP,624489,128,32
20000,20000,  0.086900,10,32.000000,640000,90.218688,14.729574,4,CUSPARSE,624489,128,32
20000,20000,  0.369700,10,64.000000,1280000,41.979995,6.924533,4,CUSP,1248880,128,32
20000,20000,  0.167000,10,64.000000,1280000,92.934156,15.329341,4,CUSPARSE,1248880,128,32
20000,20000,  0.676600,10,128.000000,2560000,45.639970,7.567248,4,CUSP,2497555,128,32
20000,20000,  0.282400,10,128.000000,2560000,109.348456,18.130312,4,CUSPARSE,2497555,128,32
22000,22000,  0.017200,10,1.000000,22000,25.581628,2.558140,4,CUSP,21491,128,32
22000,22000,  0.017900,10,1.000000,22000,24.581229,2.458101,4,CUSPARSE,21491,128,32
22000,22000,  0.021700,10,2.000000,44000,32.442581,4.055300,4,CUSP,43003,128,32
22000,22000,  0.018700,10,2.000000,44000,37.647273,4.705882,4,CUSPARSE,43003,128,32
22000,22000,  0.035800,10,4.000000,88000,34.413520,4.916201,4,CUSP,86070,128,32
22000,22000,  0.020300,10,4.000000,88000,60.689852,8.669951,4,CUSPARSE,86070,128,32
22000,22000,  0.064900,10,8.000000,176000,35.254299,5.423729,4,CUSP,172005,128,32
22000,22000,  0.033800,10,8.000000,176000,67.692426,10.414201,4,CUSPARSE,172005,128,32
22000,22000,  0.122300,10,16.000000,352000,35.977138,5.756337,4,CUSP,344154,128,32
22000,22000,  0.058000,10,16.000000,352000,75.862138,12.137931,4,CUSPARSE,344154,128,32
22000,22000,  0.239300,10,32.000000,704000,36.038462,5.883828,4,CUSP,688281,128,32
22000,22000,  0.093600,10,32.000000,704000,92.136795,15.042735,4,CUSPARSE,688281,128,32
22000,22000,  0.405600,10,64.000000,1408000,42.090740,6.942801,4,CUSP,1376774,128,32
22000,22000,  0.181400,10,64.000000,1408000,94.112481,15.523705,4,CUSPARSE,1376774,128,32
22000,22000,  0.699400,10,128.000000,2816000,48.567349,8.052617,4,CUSP,2753186,128,32
22000,22000,  0.286700,10,128.000000,2816000,118.479261,19.644227,4,CUSPARSE,2753186,128,32
24000,24000,  0.017400,10,1.000000,24000,27.586437,2.758621,4,CUSP,23496,128,32
24000,24000,  0.018000,10,1.000000,24000,26.666889,2.666667,4,CUSPARSE,23496,128,32
24000,24000,  0.022400,10,2.000000,48000,34.285893,4.285714,4,CUSP,47045,128,32
24000,24000,  0.018200,10,2.000000,48000,42.198022,5.274725,4,CUSPARSE,47045,128,32
24000,24000,  0.037600,10,4.000000,96000,35.744787,5.106383,4,CUSP,94060,128,32
24000,24000,  0.021400,10,4.000000,96000,62.803925,8.971963,4,CUSPARSE,94060,128,32
24000,24000,  0.070600,10,8.000000,192000,35.354164,5.439093,4,CUSP,188145,128,32
24000,24000,  0.036400,10,8.000000,192000,68.571538,10.549451,4,CUSPARSE,188145,128,32
24000,24000,  0.132100,10,16.000000,384000,36.336139,5.813777,4,CUSP,376112,128,32
24000,24000,  0.061100,10,16.000000,384000,78.559804,12.569558,4,CUSPARSE,376112,128,32
24000,24000,  0.260000,10,32.000000,768000,36.184631,5.907692,4,CUSP,752393,128,32
24000,24000,  0.101800,10,32.000000,768000,92.416542,15.088409,4,CUSPARSE,752393,128,32
24000,24000,  0.442400,10,64.000000,1536000,42.097658,6.943942,4,CUSP,1504766,128,32
24000,24000,  0.196200,10,64.000000,1536000,94.923568,15.657492,4,CUSPARSE,1504766,128,32
24000,24000,  0.812500,10,128.000000,3072000,45.607390,7.561846,4,CUSP,3009422,128,32
24000,24000,  0.332400,10,128.000000,3072000,111.480156,18.483755,4,CUSPARSE,3009422,128,32
26000,26000,  0.018300,10,1.000000,26000,28.415519,2.841530,4,CUSP,25506,128,32
26000,26000,  0.019700,10,1.000000,26000,26.396142,2.639594,4,CUSPARSE,25506,128,32
26000,26000,  0.023100,10,2.000000,52000,36.017489,4.502165,4,CUSP,51024,128,32
26000,26000,  0.019100,10,2.000000,52000,43.560419,5.445026,4,CUSPARSE,51024,128,32
26000,26000,  0.040200,10,4.000000,104000,36.219005,5.174129,4,CUSP,102085,128,32
26000,26000,  0.021100,10,4.000000,104000,69.004929,9.857820,4,CUSPARSE,102085,128,32
26000,26000,  0.075700,10,8.000000,208000,35.720000,5.495376,4,CUSP,204003,128,32
26000,26000,  0.038400,10,8.000000,208000,70.416771,10.833333,4,CUSPARSE,204003,128,32
26000,26000,  0.142100,10,16.000000,416000,36.593976,5.855032,4,CUSP,408165,128,32
