Name,M,N,AvgTime,TotalRun,NonZeroPerRow,NonZeroElements,Bandwidth,Flops,ValueType,Type,Strides,TransactionByte,WordSize
eu-2005,862664,862664,  5.421300,10,37.415420,32276936,72.717715,11.907452,4,CUSP,10468227,128,32
eu-2005,862664,862664, 12.545300,10,37.415420,32276936,31.424083,5.145662,4,CUSPARSE,10468227,128,32
fe_sphere,16386,16386,  0.025700,10,5.999268,98304,51.001556,7.650117,4,CUSP,6735,128,32
fe_sphere,16386,16386,  0.020300,10,5.999268,98304,64.568473,9.685123,4,CUSPARSE,6735,128,32
great-britain_osm,7733822,7733822,  3.712900,10,2.109311,16313034,69.386999,8.787220,4,CUSP,3072839,128,32
great-britain_osm,7733822,7733822,  4.183700,10,2.109311,16313034,61.578743,7.798377,4,CUSPARSE,3072839,128,32
hi2010,25016,25016,  0.045600,10,4.961864,124126,37.053596,5.444123,4,CUSP,98280,128,32
hi2010,25016,25016,  0.042300,10,4.961864,124126,39.944303,5.868842,4,CUSPARSE,98280,128,32
higgs-twitter,456626,456626,  4.697000,10,32.533938,14855842,38.731768,6.325673,4,CUSP,13729511,128,32
higgs-twitter,456626,456626,  3.237400,10,32.533938,14855842,56.194204,9.177638,4,CUSPARSE,13729511,128,32
hugetrace-00010,12057441,12057441,  9.227600,10,2.999339,36164358,57.483184,7.838302,4,CUSP,13895597,128,32
hugetrace-00010,12057441,12057441,  8.029100,10,2.999339,36164358,66.063672,9.008322,4,CUSPARSE,13895597,128,32
hugetrace-00020,16002413,16002413, 13.328500,10,2.999399,47997626,52.818458,7.202255,4,CUSP,21848096,128,32
hugetrace-00020,16002413,16002413, 11.548700,10,2.999399,47997626,60.958447,8.312213,4,CUSPARSE,21848096,128,32
id2010,149842,149842,  0.255000,10,4.860213,728264,38.972188,5.711875,4,CUSP,593327,128,32
id2010,149842,149842,  0.203200,10,4.860213,728264,48.907028,7.167953,4,CUSPARSE,593327,128,32
in-2004,1382908,1382908,  6.526900,10,19.656366,27182946,51.672099,8.329512,4,CUSP,5534544,128,32
in-2004,1382908,1382908,  6.039500,10,19.656366,27182946,55.842143,9.001721,4,CUSPARSE,5534544,128,32
inf-europe_osm,50912018,50912018, 19.996300,10,2.123454,108109320,85.246170,10.812932,4,CUSP,19951949,128,32
inf-europe_osm,50912018,50912018, 23.573600,10,2.123454,108109320,72.310041,9.172067,4,CUSPARSE,19951949,128,32
inf-italy_osm,6686493,6686493,  2.309500,10,2.097954,14027956,96.049976,12.148046,4,CUSP,2062593,128,32
inf-italy_osm,6686493,6686493,  3.629800,10,2.097954,14027956,61.112849,7.729327,4,CUSPARSE,2062593,128,32
it-2004,41291594,41291594,182.480300,10,27.868274,1150725436,101088961771.044434,-10.924557,4,CUSP,158091556,128,32
it-2004,41291594,41291594,140.167300,10,27.868274,1150725436,131605189446.245453,-14.222407,4,CUSPARSE,158091556,128,32
kkt_power,2063494,2063494,  4.397100,10,6.282858,12964640,39.135711,5.896905,4,CUSP,8197307,128,32
kkt_power,2063494,2063494,  2.600500,10,6.282858,12964640,66.173288,9.970883,4,CUSPARSE,8197307,128,32
loc-Brightkite,58228,58228,  0.151800,10,7.353095,428156,36.915020,5.641054,4,CUSP,318176,128,32
loc-Brightkite,58228,58228,  0.329500,10,7.353095,428156,17.006677,2.598822,4,CUSPARSE,318176,128,32
loc-Gowalla,196591,196591,  0.725200,10,9.668062,1900654,33.619112,5.241737,4,CUSP,1457138,128,32
loc-Gowalla,196591,196591,  4.034200,10,9.668062,1900654,6.043473,0.942271,4,CUSPARSE,1457138,128,32
M6,3501776,3501776,  7.621600,10,5.998063,21003872,36.745654,5.511670,4,CUSP,15477157,128,32
M6,3501776,3501776,  6.181800,10,5.998063,21003872,45.304066,6.795390,4,CUSPARSE,15477157,128,32
mi2010,329885,329885,  0.483300,10,4.783758,1578090,44.643418,6.530478,4,CUSP,1140120,128,32
mi2010,329885,329885,  0.391100,10,4.783758,1578090,55.167896,8.070008,4,CUSPARSE,1140120,128,32
mt2010,132288,132288,  0.216500,10,4.827860,638668,40.287871,5.899935,4,CUSP,496664,128,32
mt2010,132288,132288,  0.173100,10,4.827860,638668,50.388931,7.379180,4,CUSPARSE,496664,128,32
NACA0015,1039183,1039183,  2.045600,10,5.994744,6229636,40.608672,6.090767,4,CUSP,4657844,128,32
NACA0015,1039183,1039183,  2.031100,10,5.994744,6229636,40.898577,6.134248,4,CUSPARSE,4657844,128,32
nc2010,288987,288987,  0.464000,10,4.902020,1416620,41.619267,6.106121,4,CUSP,1095391,128,32
nc2010,288987,288987,  0.428300,10,4.902020,1416620,45.088349,6.615083,4,CUSPARSE,1095391,128,32
netherlands_osm,2216688,2216688,  0.978400,10,2.202600,4882476,78.008197,9.980531,4,CUSP,1174121,128,32
netherlands_osm,2216688,2216688,  1.537200,10,2.202600,4882476,49.650807,6.352428,4,CUSPARSE,1174121,128,32
nh2010,48837,48837,  0.085300,10,4.802711,234550,37.576788,5.499414,4,CUSP,183672,128,32
nh2010,48837,48837,  0.071500,10,4.802711,234550,44.829371,6.560839,4,CUSPARSE,183672,128,32
nlpkkt120,3542400,3542400, 23.957000,10,26.339033,93303392,47.918350,7.789238,4,CUSP,6167631,128,32
nlpkkt120,3542400,3542400, 10.067700,10,26.339033,93303392,114.026035,18.535195,4,CUSPARSE,6167631,128,32
nlpkkt160,8345600,8345600, 44.632800,10,27.501691,229518112,63.204239,10.284728,4,CUSP,14920724,128,32
nlpkkt160,8345600,8345600, 22.593300,10,27.501691,229518112,124.859235,20.317361,4,CUSPARSE,14920724,128,32
nlpkkt200,16240000,16240000, 82.933000,10,27.600100,448225632,66.422625,10.809343,4,CUSP,28599451,128,32
nlpkkt200,16240000,16240000, 44.122200,10,27.600100,448225632,124.849341,20.317465,4,CUSPARSE,28599451,128,32
nlpkkt240,27993600,27993600,134.702000,10,27.666051,774472352,70.656835,11.499048,4,CUSP,49027917,128,32
nlpkkt240,27993600,27993600, 77.135800,10,27.666051,774472352,123.387805,20.080750,4,CUSPARSE,49027917,128,32
nlpkkt80,1062400,1062400,  6.331100,10,27.018705,28704672,55.749438,9.067831,4,CUSP,1960943,128,32
nlpkkt80,1062400,1062400,  3.104800,10,27.018705,28704672,113.680517,18.490513,4,CUSPARSE,1960943,128,32
NLR,4163763,4163763,  9.067900,10,5.998409,24975952,36.725320,5.508652,4,CUSP,18286117,128,32
NLR,4163763,4163763,  7.376800,10,5.998409,24975952,45.144444,6.771487,4,CUSPARSE,18286117,128,32
nm2010,168609,168609,  0.284100,10,4.928385,830970,39.846941,5.849842,4,CUSP,682788,128,32
nm2010,168609,168609,  0.217500,10,4.928385,830970,52.048349,7.641103,4,CUSPARSE,682788,128,32
ny2010,350169,350169,  0.534000,10,4.882054,1709544,43.662704,6.402787,4,CUSP,1305200,128,32
ny2010,350169,350169,  0.384400,10,4.882054,1709544,60.655265,8.894610,4,CUSPARSE,1305200,128,32
ok2010,269118,269118,  0.423500,10,4.734533,1274148,41.187070,6.017228,4,CUSP,1004586,128,32
ok2010,269118,269118,  0.311300,10,4.734533,1274148,56.031879,8.185981,4,CUSPARSE,1004586,128,32
Oregon-2,11806,11806,  0.104300,10,5.544638,65460,8.436932,1.255225,4,CUSP,48440,128,32
Oregon-2,11806,11806,  0.497900,10,5.544638,65460,1.767367,0.262944,4,CUSPARSE,48440,128,32
p2p-Gnutella25,22687,22687,  0.033000,10,2.411293,54705,25.392727,3.315455,4,CUSP,52256,128,32
p2p-Gnutella25,22687,22687,  0.034100,10,2.411293,54705,24.573607,3.208504,4,CUSPARSE,52256,128,32
p2p-Gnutella31,62586,62586,  0.073700,10,2.363020,147892,30.873758,4.013351,4,CUSP,144341,128,32
p2p-Gnutella31,62586,62586,  0.081600,10,2.363020,147892,27.884755,3.624804,4,CUSPARSE,144341,128,32
pa2010,421545,421545,  0.635200,10,4.883137,2058462,44.196958,6.481304,4,CUSP,1560139,128,32
pa2010,421545,421545,  0.467100,10,4.883137,2058462,60.102565,8.813796,4,CUSPARSE,1560139,128,32
road_central,14081816,14081816, 13.363200,10,2.405004,33866826,38.842227,5.068670,4,CUSP,22493464,128,32
road_central,14081816,14081816, 11.777900,10,2.405004,33866826,44.070373,5.750911,4,CUSPARSE,22493464,128,32
roadNet-PA,1090920,1090920,  0.618900,10,2.826785,3083796,73.893870,9.965410,4,CUSP,969385,128,32
roadNet-PA,1090920,1090920,  0.906000,10,2.826785,3083796,50.477832,6.807497,4,CUSPARSE,969385,128,32
roadNet-TX,1393383,1393383,  0.773200,10,2.758265,3843320,74.064806,9.941335,4,CUSP,1185600,128,32
roadNet-TX,1393383,1393383,  1.191200,10,2.758265,3843320,48.074973,6.452854,4,CUSPARSE,1185600,128,32
road_usa,23947347,23947347, 13.798900,10,2.409813,57708624,64.069039,8.364235,4,CUSP,22842690,128,32
road_usa,23947347,23947347, 15.389000,10,2.409813,57708624,57.448974,7.499984,4,CUSPARSE,22842690,128,32
sx-stackoverflow,2601977,2601977, 19.115800,10,13.925354,36233450,23.834588,3.790943,4,CUSP,35553670,128,32
sx-stackoverflow,2601977,2601977, 24.617000,10,13.925354,36233450,18.508235,2.943775,4,CUSPARSE,35553670,128,32
thermal2,1227087,1227087,  1.600400,10,5.991644,7352268,61.262132,9.188038,4,CUSP,3308531,128,32
thermal2,1227087,1227087,  1.048600,10,5.991644,7352268,93.499825,14.023017,4,CUSPARSE,3308531,128,32
uk2002,18520486,18520486, 47.330800,10,16.096433,298113762,78.712573,12.597030,4,CUSP,46349700,128,32
uk2002,18520486,18520486, 41.262800,10,16.096433,298113762,90.287839,14.449517,4,CUSPARSE,46349700,128,32
uk,4824,4824,  0.010500,10,2.834577,13674,19.303238,2.604571,4,CUSP,2262,128,32
uk,4824,4824,  0.011300,10,2.834577,13674,17.936637,2.420177,4,CUSPARSE,2262,128,32
ut2010,115406,115406,  0.204500,10,4.956987,572066,38.083345,5.594778,4,CUSP,479327,128,32
ut2010,115406,115406,  0.161500,10,4.956987,572066,48.223183,7.084409,4,CUSPARSE,479327,128,32
web-NotreDame,325729,325729,  0.615300,10,4.596256,1497134,33.433194,4.866355,4,CUSP,492204,128,32
web-NotreDame,325729,325729,  1.047400,10,4.596256,1497134,19.640485,2.858763,4,CUSPARSE,492204,128,32
web-Stanford,281903,281903,  0.908700,10,8.203166,2312497,33.019910,5.089682,4,CUSP,2167520,128,32
web-Stanford,281903,281903,  0.764700,10,8.203166,2312497,39.237861,6.048116,4,CUSPARSE,2167520,128,32
wiki-Vote,8297,8297,  0.046600,10,12.497168,103689,28.125494,4.450172,4,CUSP,95140,128,32
wiki-Vote,8297,8297,  0.177500,10,12.497168,103689,7.383932,1.168327,4,CUSPARSE,95140,128,32
